id,value,answered_at,user_id,topic_id
ec0083f5-8b03-490c-8e79-008fe12efd5b,0,2024-12-27 15:02:30.000000,54fbbfaa-4da0-434b-bcf9-1ec097eebaeb,1
fc1ad625-9650-40fc-bd95-36110c0a7a9b,0,2025-01-13 12:31:11.000000,6086dcf0-c124-422a-a50f-7b6515fe6184,1
b6350142-6850-4705-8833-2b00b11bc703,0,2024-12-10 05:11:44.000000,25904b3d-7450-49aa-bf70-989ab119f11c,1
0e9d3900-b0f2-4753-afc2-ad3ca6691860,0,2024-12-29 05:20:12.000000,cc9464a0-4097-4fd8-aa86-ed678b3ba637,1
24623c1d-f7e0-4749-a301-4fbb82d51e2a,-1,2024-10-20 23:11:20.000000,878bf32b-c8eb-4c86-8cad-819fd59f46c3,1
557bb9ec-1cd0-4439-be80-3d9d132f68fa,1,2024-12-25 05:05:55.000000,adbb2451-c1e6-43a4-b8cb-1aa6644dfa66,1
76ff49ee-4861-4335-bc90-e30eafb9c8cd,1,2024-11-24 00:33:28.000000,1f1d20ee-6ca7-46ff-bb49-83c6ae394bec,1
9163ac79-a6b7-47c1-bcf3-d1114b7791e2,-1,2025-01-06 11:01:27.000000,f84e8a69-64af-4a36-87cf-a527dfabf1d2,1
030ac04c-04b7-44bc-b230-2596c00c4f97,-1,2024-11-20 15:51:13.000000,962e70db-e111-4ebd-9932-2d115cbc93b3,1
3a3d30c0-e453-4798-8b1d-f59de438c8a6,-1,2024-11-13 17:20:01.000000,fbd4658c-08e1-46e4-b514-4b8343874241,1
711f13c0-1215-434e-baa8-d2762ff741c5,0,2024-12-01 19:36:32.000000,7e174015-a5ed-4437-876a-d3cb9adf77aa,1
dd8e86ea-f1a7-440f-837d-a09e0f3ebad7,1,2024-11-22 13:00:36.000000,656188cd-8955-4637-a826-20fd74182143,1
23b2a851-e696-42cf-bf20-5c62fe41c31b,0,2024-12-06 04:41:55.000000,d546c64e-1a6f-4654-bb8a-4b4b4106a275,1
ec8affec-112d-49ec-a978-2153f9bd6962,-1,2025-01-13 21:27:49.000000,87bb7a07-fdb3-493d-8acb-4091484e6131,1
e210b27e-39ac-40dc-9d2a-b47a09a82ad3,-1,2024-12-29 01:48:25.000000,815b83ee-2bf3-4e03-b739-2c9f1e6c4180,1
2c850bc4-8fd5-47ea-847c-2e423c054ba8,0,2024-11-02 05:00:52.000000,93e5f91c-dbcc-4f24-8e9e-d4a93904ec85,1
1076f8ce-6393-48ad-b761-ab1276f151bb,-1,2025-01-09 07:53:11.000000,cbde5f57-9132-4703-9a0a-f25fc6b1f4ee,1
fceab0e3-69a4-4e3e-b0b5-1f45ccba7d7e,-1,2024-12-08 14:26:04.000000,1f4f6f68-209c-4509-946b-c06a54325434,1
97691c44-9db0-44db-868b-6476804ea8f9,0,2024-10-17 16:12:50.000000,f093bf0d-d4e1-4389-b61c-a503c80083f9,1
75cec179-4f58-4be1-b232-5d267fc5215f,-1,2025-01-04 18:19:02.000000,bff88960-1298-4099-9588-fc49c0f01501,1
1b24c71f-4867-4603-9731-2ea62ac977c7,0,2024-11-02 06:31:10.000000,46c9412b-16e2-4d67-9614-ba44b5b4f8ef,1
de1e80dd-99b4-42cb-840f-f13d676507ea,-1,2024-11-23 04:40:40.000000,ab423855-38d7-4ac2-99f0-051b17883020,1
ccffc434-0772-47ed-ba48-f22e2349bc84,1,2024-11-15 22:40:02.000000,ebbd95d8-7b31-4cad-8f3a-fcfaaa9ac811,1
194b1756-4a16-4211-b465-620e20ace894,0,2024-11-04 16:03:43.000000,af9e1376-5f5f-463e-ad2d-5619edf77d13,1
69ed2d9c-1aed-455c-9f00-7b93d0bc6377,0,2024-12-26 03:28:03.000000,94632f68-107f-45a3-b007-4470144cf2ce,1
a2cd0574-95e8-48d8-a1ce-1bbd43097271,-1,2024-12-24 18:42:32.000000,15d3c2a3-6896-4957-9801-d8c98548a5c6,1
65d58911-064e-4dcf-9966-63c243257b56,1,2024-12-16 13:58:49.000000,448962ce-af80-4f2f-b0da-0a0ca2698c77,1
20246918-a3d4-4f76-b87d-2025e98c6c37,-1,2024-11-06 11:36:27.000000,3df41caf-a503-4118-af76-b8b952f9d711,1
034a0619-c78d-40c8-baa3-46b9039ec7cd,-1,2025-01-04 05:54:27.000000,e6c5c787-afd1-4b51-96c1-3266322b4d0b,1
